scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,1239,625,0,0,0,36594991,36593791,184549376,184549376,12,34,105,184549376
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,1332,669,0,0,0,36594991,36593791,184549376,184549376,12,48,132,184549376
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,1224,620,0,0,0,36594991,36593791,184549376,184549376,12,32,109,184549376
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,636,573,0,0,0,0,36875347,184549376,184549376,12,37,130,184549376
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,621,568,0,0,0,0,36875347,184549376,184549376,12,38,134,184549376
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,621,556,0,0,0,0,36875347,184549376,184549376,12,35,129,184549376
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,668,563,0,0,0,0,36593791,184549376,184549376,12,33,126,184549376
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,663,557,0,0,0,0,36593791,184549376,184549376,12,38,147,184549376
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,663,564,0,0,0,0,36593791,184549376,184549376,12,31,142,184549376
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,6027,5418,0,0,0,33359106,33357906,936509440,936509440,12,48,117,936509440
tracked-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,6005,5407,0,0,0,33359106,33357906,936509440,936509440,12,48,116,936509440
tracked-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5972,5379,0,0,0,33359106,33357906,936509440,936509440,12,46,142,936509440
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5412,5342,0,0,0,0,36666781,936509440,936509440,12,47,80,936509440
tracked-jyut-warm-reload,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5468,5411,0,0,0,0,36666793,936509440,936509440,12,46,92,936509440
tracked-jyut-warm-reload,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5482,5414,0,0,0,0,36666793,936509440,936509440,12,46,144,936509440
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5452,5345,0,0,0,0,33357906,936509440,936509440,12,49,169,936509440
tracked-jyut-warm-new-page,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5514,5403,0,0,0,0,33357906,936509440,936509440,12,46,95,936509440
tracked-jyut-warm-new-page,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5466,5356,0,0,0,0,33357906,936509440,936509440,12,45,136,936509440
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,605,0,0,0,0,747840,746640,0,0,0,10,10,0
tracked-mock-cold,1,luna_pinyin,luna_pinyin,mock-worker-cold,false,601,0,0,0,0,747840,746640,0,0,0,9,9,0
tracked-mock-cold,2,luna_pinyin,luna_pinyin,mock-worker-cold,false,595,0,0,0,0,747817,746617,0,0,0,25,25,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,409,0,0,0,0,747840,746640,0,0,0,29,29,0
tracked-mock-warm,1,luna_pinyin,luna_pinyin,mock-worker-warm,false,381,0,0,0,0,747840,746640,0,0,0,25,25,0
tracked-mock-warm,2,luna_pinyin,luna_pinyin,mock-worker-warm,false,381,0,0,0,0,747828,746628,0,0,0,26,26,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,1245,644,2,24,0,36594931,36593731,184549376,184549376,12,36,114,184549376
public-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,true,1247,655,2,24,0,36594931,36593731,184549376,184549376,12,38,133,184549376
public-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,true,1253,666,2,24,0,36594931,36593731,184549376,184549376,12,38,131,184549376
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5926,5299,1,35,0,33359046,33357846,936509440,936509440,12,45,140,936509440
public-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,6383,5782,1,35,0,33359046,33357846,936509440,936509440,12,47,145,936509440
public-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5922,5325,1,35,0,33359046,33357846,936509440,936509440,12,50,83,936509440
