"profile","stage","category","estimated_bytes","item_count","row_count","notes"
"comments_intact_keyboard","after_red08","heap_owned","4195278","114656","9","Small named heap remains mostly compact_table.syllabary_codes."
"comments_intact_keyboard","after_red08","mmap_file_backed","34602818","2855234","4","Clean/file-backed table and prism payload estimate on Windows WorkingSet64."
"comments_intact_keyboard","after_red08","shared_or_overlapping","20073545","381430","10","Rich comment lookup payload remains byte-backed/shared; primary translator lookup records are reported as shared 0 B."
"comments_intact_keyboard","after_red08","overlap_estimate","1987","1","1","Estimator guard row from the owner profile."
"comments_intact_keyboard","after_red08","other","0","0","5","Zero-byte shared/other probe rows."
"full_mobile","after_red08","heap_owned","4856616","134631","15","Small named heap remains compact-table syllabary code indexes."
"full_mobile","after_red08","mmap_file_backed","40740505","3122698","8","Full mobile also keeps the secondary reverse UI table/prism storage."
"full_mobile","after_red08","shared_or_overlapping","26306629","593847","19","Includes rich comment lookup payload plus the secondary reverse UI lookup payload."
"full_mobile","after_red08","overlap_estimate","1987","1","1","Estimator guard row from the owner profile."
"full_mobile","after_red08","other","0","0","10","Zero-byte shared/other probe rows."
