engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,2789.897,2825.803,2844.062,2844.062,180060160,188985344,194043904,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,549.510,562.010,568.410,568.410,182083584,188985344,196005888,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,25.233,26.133,31.333,31.333,177643520,188985344,191643648,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,71.300,75.400,78.800,78.800,177000448,188985344,190853120,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,51.000,53.650,54.250,54.250,177016832,188985344,190853120,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,5064.307,5086.939,5103.339,5103.339,180789248,188985344,194670592,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,62.050,63.237,64.175,64.175,178876416,188985344,193298432,204906496
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,551.810,561.520,665.640,665.640,183549952,188985344,197558272,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,23010.600,23932.700,24148.600,24148.600,176009216,188985344,190058496,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,23168.100,2893359.500,2893359.500,2893359.500,175329280,188985344,189878272,204906496
