"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","294.551","319.338","348.335","348.335","15663104","15794176","5324800","6660096"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1195.190","1213.860","1250.900","1250.900","16228352","17203200","6361088","7712768"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.567","12.233","13.567","13.567","12247040","13860864","4956160","6590464"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.900","22.400","52.500","52.500","12083200","13627392","4792320","6483968"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.550","30.300","58.600","58.600","12267520","13860864","4993024","6590464"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","664.893","681.614","691.085","691.085","16904192","17203200","5996544","7233536"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","167.862","179.312","181.550","181.550","13295616","13955072","5111808","6660096"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","840.640","861.880","898.110","898.110","15978496","17203200","6180864","7720960"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","28730.900","34418.600","98190.100","98190.100","10518528","13627392","3424256","6483968"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","29505.000","48569.700","48569.700","48569.700","10969088","13438976","3809280","6205440"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","860.011","917.708","968.768","968.768","179486720","188739584","194867200","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","504.040","580.540","680.820","680.820","181219328","188739584","196198400","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.867","25.933","35.133","35.133","177430528","188739584","192438272","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","59.400","64.400","69.600","69.600","176635904","188739584","191647744","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","44.800","46.650","47.350","47.350","176701440","188739584","191647744","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1630.029","1740.985","1872.368","1872.368","180514816","188739584","195571712","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","46.300","47.550","47.738","47.738","178434048","188739584","193859584","205529088"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","514.120","555.850","694.160","694.160","182722560","188739584","197926912","205529088"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","22679.800","24673.100","24854.000","24854.000","175767552","188739584","190726144","205529088"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23190.000","2826610.600","2826610.600","2826610.600","175489024","188739584","190726144","205529088"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","334.820","346.687","355.259","355.259","252305408","504365056","180375552","535896064"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","99798.600","102768.300","102917.300","102917.300","224571392","504365056","176484352","535896064"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","97440.200","598324.900","598324.900","598324.900","253173760","504365056","181506048","535896064"
